WKT,fid,id,building_theme,classification,distinctive_name,feature_code
"POLYGON ((393643.79 806331.24,393711.43 806334.31,393709.96 806365.42,393642.14 806338.65,393643.79 806331.24))","4120",1AB34DCC-C369-4725-9D0A-802F622F01F0,Cultural Facility,Library,Aberdeen Central Library,"15024"
"POLYGON ((185655.53 729630.58,185672.02 729637.15,185660.61 729662.62,185646.07 729654.06,185655.53 729630.58))","4137",EEABF946-69A3-40B9-8364-7BD8525B00AC,Cultural Facility,Library,,"15024"
"POLYGON ((383347.4 807169.22,383378.8 807182.31,383370.51 807202.03,383406.82 807217.22,383393.76 807247.79,383365.19 807235.86,383372.83 807217.69,383365.21 807214.49,383355.56 807237.44,383333.96 807228.54,383336.76 807221.8,383327.2 807217.82,383347.4 807169.22),(383386.91 807229.95,383390.46 807221.35,383387.11 807219.97,383383.56 807228.57,383386.91 807229.95))","4223",451376AC-9CFE-48C7-9A48-7B2FB394038C,Cultural Facility,Library,,"15024"
"POLYGON ((349839.35 732588.74,349828.93 732599.02,349811.05 732580.98,349821.64 732570.62,349839.35 732588.74))","4256",69A04C71-D5CE-416C-BEB8-B1C341344A9F,Cultural Facility,Library,,"15024"
"POLYGON ((341783.26 733597.1,341782.22 733581.68,341805.94 733579.88,341807.12 733595.19,341783.26 733597.1))","4374",7A181A11-CE03-49AD-82A9-BAC8B85962B5,Cultural Facility,Library,,"15024"
"POLYGON ((289734.73 813319.27,289736.67 813334.73,289710.76 813338.04,289707.56 813313.04,289701.14 813311.15,289685.7 813305.8,289692.31 813280.68,289686.1 813278.96,289681.25 813241.64,289707.15 813238.36,289711.85 813274.75,289721.13 813276.41,289742.97 813248.18,289763.55 813263.91,289740.83 813293.63,289740.1 813293.43,289740.12 813293.74,289736.5 813294.34,289737.45 813303.17,289735.81 813309.17,289730.47 813316.25,289732.92 813317.99,289732.41 813318.64,289734.73 813319.27))","4501",214A7F31-95B2-4C7E-8429-6CE28719C70D,Cultural Facility,Library,Aviemore Library,"15024"
"POLYGON ((342470.55 732640.85,342481.2 732651.05,342464.72 732668.27,342448.58 732652.94,342448.54 732650.83,342455.72 732642.76,342470.55 732640.85))","4543",2BB32FD3-E349-4CF0-A4EA-61FA024785FD,Cultural Facility,Library,The Hub,"15024"
"POLYGON ((388709.69 819480.81,388697.76 819477.5,388700.74 819466.75,388712.67 819470.06,388709.69 819480.81))","4608",6A7C7CD1-9B8E-44B0-BD52-C3799660AEE1,Cultural Facility,Library,,"15024"
"POLYGON ((317894.57 745159.8,317886.62 745145.41,317915.73 745129.09,317923.74 745143.6,317894.57 745159.8))","4640",129712BF-73C6-4AF3-AD7A-F555A17BD26F,Cultural Facility,Library,,"15024"
"POLYGON ((260992.07 891686.0,261003.25 891689.37,260999.02 891702.8,260988.07 891699.56,260992.07 891686.0))","4670",5593FBE1-EA91-4163-AA07-5099D5484DC4,Cultural Facility,Library,,"15024"
